source,result,postal_code,country,country_iso_code,federal_district,region_fias_id,region_kladr_id,region_iso_code,region_with_type,region_type,region_type_full,region,area_fias_id,area_kladr_id,area_with_type,area_type,area_type_full,area,city_fias_id,city_kladr_id,city_with_type,city_type,city_type_full,city,city_area,city_district_fias_id,city_district_kladr_id,city_district_with_type,city_district_type,city_district_type_full,city_district,settlement_fias_id,settlement_kladr_id,settlement_with_type,settlement_type,settlement_type_full,settlement,street_fias_id,street_kladr_id,street_with_type,street_type,street_type_full,street,house_fias_id,house_kladr_id,house_cadnum,house_type,house_type_full,house,block_type,block_type_full,block,entrance,floor,flat_fias_id,flat_cadnum,flat_type,flat_type_full,flat,flat_area,square_meter_price,flat_price,postal_box,fias_id,fias_code,fias_level,fias_actuality_state,kladr_id,capital_marker,okato,oktmo,tax_office,tax_office_legal,timezone,geo_lat,geo_lon,beltway_hit,beltway_distance,qc_geo,qc_complete,qc_house,qc,unparsed_parts,metro,med_id_1,med_id_1_division_data_id,med_id_1_name_full,med_id_1_name_short,med_id_1_division_name,med_id_1_division_house_fias,med_id_1_division_house_geo_lat,med_id_1_division_house_geo_lot,med_id_1_division_qc_geo,med_id_1_division_type,med_id_1_division_zone,,uchastok,color
Челябинск Челябинск Сони Кривой 42 ,г Челябинск, ул Сони Кривой, д 42,454080,Россия,RU,Уральский,27eb7c10-a234-44da-a59c-8b1f864966de,7400000000000,RU-CHE,Челябинская обл,обл,область,Челябинская,,,,,,,a376e68d-724a-4472-be7c-891bdb09ae32,7400000100000,г Челябинск,г,город,Челябинск,,,,р-н Центральный,р-н,район,Центральный,,,,,,,9073effc-1f53-40c0-b5f8-e8d4fa408459,"7,40000010000478E+016",ул Сони Кривой,ул,улица,Сони Кривой,c850db9b-5145-4a65-977b-4faa4a736177,"7,40000010000478E+018",74:36:0507008:626,д,дом,42,,,,,,,,,,,,77954,,,c850db9b-5145-4a65-977b-4faa4a736177,"7,4000001E+022",8,0,"7,40000010000478E+018",2,75401386000,75701390,7453,7453,UTC+5,55.157906,61.382747,,,0,5,2,0,,,77067159,1.2.643.5.1.13.13.12.2.74.7554.0.443451,"ГАУЗ ОТКЗ ""ГКБ № 1 г. Челябинск""",ГКБ 1 Челябинска,Поликлиника 1,e92a576a-4304-4e91-ad33-f61b90b4eff9,55.1545814,61.3919103,0,Поликлиническая помощь (взрослая),8,darkblue
Челябинск Челябинск Володарского 50А,г Челябинск, ул Володарского, д 50А,454080,Россия,RU,Уральский,27eb7c10-a234-44da-a59c-8b1f864966de,7400000000000,RU-CHE,Челябинская обл,обл,область,Челябинская,,,,,,,a376e68d-724a-4472-be7c-891bdb09ae32,7400000100000,г Челябинск,г,город,Челябинск,,,,р-н Центральный,р-н,район,Центральный,,,,,,,146bae4b-eb42-4c83-b303-57fabae28222,"7,40000010000179E+016",ул Володарского,ул,улица,Володарского,8eae92c8-3eb0-489b-b603-d9ccc520dec5,"7,40000010000179E+018",,д,дом,50А,,,,,,,,,,,,68750,,,8eae92c8-3eb0-489b-b603-d9ccc520dec5,"7,4000001E+022",8,0,"7,40000010000179E+018",2,75401386000,75701390,7453,7453,UTC+5,55.158363,61.3853931,,,0,5,2,0,,,77067159,1.2.643.5.1.13.13.12.2.74.7554.0.443451,"ГАУЗ ОТКЗ ""ГКБ № 1 г. Челябинск""",ГКБ 1 Челябинска,Поликлиника 1,e92a576a-4304-4e91-ad33-f61b90b4eff9,55.1545814,61.3919103,0,Поликлиническая помощь (взрослая),8,darkblue
Челябинск Челябинск Володарского 52А,г Челябинск, ул Володарского, д 52А,454080,Россия,RU,Уральский,27eb7c10-a234-44da-a59c-8b1f864966de,7400000000000,RU-CHE,Челябинская обл,обл,область,Челябинская,,,,,,,a376e68d-724a-4472-be7c-891bdb09ae32,7400000100000,г Челябинск,г,город,Челябинск,,,,р-н Центральный,р-н,район,Центральный,,,,,,,146bae4b-eb42-4c83-b303-57fabae28222,"7,40000010000179E+016",ул Володарского,ул,улица,Володарского,808f8fe2-9347-4e92-a4b5-fd917d22da23,"7,40000010000179E+018",,д,дом,52А,,,,,,,,,,,,89849,,,808f8fe2-9347-4e92-a4b5-fd917d22da23,"7,4000001E+022",8,0,"7,40000010000179E+018",2,75401386000,75701390,7453,7453,UTC+5,55.159177,61.386231,,,0,5,2,0,,,77067159,1.2.643.5.1.13.13.12.2.74.7554.0.443451,"ГАУЗ ОТКЗ ""ГКБ № 1 г. Челябинск""",ГКБ 1 Челябинска,Поликлиника 1,e92a576a-4304-4e91-ad33-f61b90b4eff9,55.1545814,61.3919103,0,Поликлиническая помощь (взрослая),8,darkblue
Челябинск Челябинск Энгельса 69А,г Челябинск, ул Энгельса, д 69А,454080,Россия,RU,Уральский,27eb7c10-a234-44da-a59c-8b1f864966de,7400000000000,RU-CHE,Челябинская обл,обл,область,Челябинская,,,,,,,a376e68d-724a-4472-be7c-891bdb09ae32,7400000100000,г Челябинск,г,город,Челябинск,,,,р-н Центральный,р-н,район,Центральный,,,,,,,4c2743eb-2004-48ca-af78-508910b0ff7d,"7,40000010001173E+016",ул Энгельса,ул,улица,Энгельса,cb0b1b7c-76c2-4e8b-9344-3df2d519e5e7,"7,40000010001173E+018",,д,дом,69А,,,,,,,,,,,,80369,,,cb0b1b7c-76c2-4e8b-9344-3df2d519e5e7,"7,4000001E+022",8,0,"7,40000010001173E+018",2,75401386000,75701390,7453,7453,UTC+5,55.158745,61.383205,,,0,5,2,0,,,77067159,1.2.643.5.1.13.13.12.2.74.7554.0.443451,"ГАУЗ ОТКЗ ""ГКБ № 1 г. Челябинск""",ГКБ 1 Челябинска,Поликлиника 1,e92a576a-4304-4e91-ad33-f61b90b4eff9,55.1545814,61.3919103,0,Поликлиническая помощь (взрослая),8,darkblue
Челябинск Челябинск Энгельса 69,г Челябинск, ул Энгельса, д 69,454080,Россия,RU,Уральский,27eb7c10-a234-44da-a59c-8b1f864966de,7400000000000,RU-CHE,Челябинская обл,обл,область,Челябинская,,,,,,,a376e68d-724a-4472-be7c-891bdb09ae32,7400000100000,г Челябинск,г,город,Челябинск,,,,р-н Центральный,р-н,район,Центральный,,,,,,,4c2743eb-2004-48ca-af78-508910b0ff7d,"7,40000010001173E+016",ул Энгельса,ул,улица,Энгельса,0ece63cd-4c07-4f8e-8beb-f8627068cb42,"7,40000010001173E+018",,д,дом,69,,,,,,,,,,,,82581,,,0ece63cd-4c07-4f8e-8beb-f8627068cb42,"7,4000001E+022",8,0,"7,40000010001173E+018",2,75401386000,75701390,7453,7453,UTC+5,55.1583102,61.3832438,,,0,5,2,0,,,77067159,1.2.643.5.1.13.13.12.2.74.7554.0.443451,"ГАУЗ ОТКЗ ""ГКБ № 1 г. Челябинск""",ГКБ 1 Челябинска,Поликлиника 1,e92a576a-4304-4e91-ad33-f61b90b4eff9,55.1545814,61.3919103,0,Поликлиническая помощь (взрослая),8,darkblue
Челябинск Челябинск Сони Кривой 67А,г Челябинск, ул Сони Кривой, д 67А,454080,Россия,RU,Уральский,27eb7c10-a234-44da-a59c-8b1f864966de,7400000000000,RU-CHE,Челябинская обл,обл,область,Челябинская,,,,,,,a376e68d-724a-4472-be7c-891bdb09ae32,7400000100000,г Челябинск,г,город,Челябинск,,,,р-н Центральный,р-н,район,Центральный,,,,,,,9073effc-1f53-40c0-b5f8-e8d4fa408459,"7,40000010000478E+016",ул Сони Кривой,ул,улица,Сони Кривой,6cc019b2-a80c-40b1-940a-14d430bb8bf6,"7,40000010000478E+018",74:36:0515006:4361,д,дом,67А,,,,,,,,,,,,63194,,,6cc019b2-a80c-40b1-940a-14d430bb8bf6,"7,4000001E+022",8,0,"7,40000010000478E+018",2,75401386000,75701390,7453,7453,UTC+5,55.1573243,61.3779215,,,0,5,2,0,,,77067159,1.2.643.5.1.13.13.12.2.74.7554.0.443451,"ГАУЗ ОТКЗ ""ГКБ № 1 г. Челябинск""",ГКБ 1 Челябинска,Поликлиника 1,e92a576a-4304-4e91-ad33-f61b90b4eff9,55.1545814,61.3919103,0,Поликлиническая помощь (взрослая),6,darkolivegreen
Челябинск Челябинск Энгельса 40А,г Челябинск, ул Энгельса, д 40А,454080,Россия,RU,Уральский,27eb7c10-a234-44da-a59c-8b1f864966de,7400000000000,RU-CHE,Челябинская обл,обл,область,Челябинская,,,,,,,a376e68d-724a-4472-be7c-891bdb09ae32,7400000100000,г Челябинск,г,город,Челябинск,,,,р-н Центральный,р-н,район,Центральный,,,,,,,4c2743eb-2004-48ca-af78-508910b0ff7d,"7,40000010001173E+016",ул Энгельса,ул,улица,Энгельса,c3a32af5-305f-4b4f-9a9a-244dd40457ef,"7,40000010001173E+018",,д,дом,40А,,,,,,,,,,,,48268,,,c3a32af5-305f-4b4f-9a9a-244dd40457ef,"7,4000001E+022",8,0,"7,40000010001173E+018",2,75401386000,75701390,7453,7453,UTC+5,55.1553213,61.3800296,,,0,5,2,0,,,77067159,1.2.643.5.1.13.13.12.2.74.7554.0.443451,"ГАУЗ ОТКЗ ""ГКБ № 1 г. Челябинск""",ГКБ 1 Челябинска,Поликлиника 1,e92a576a-4304-4e91-ad33-f61b90b4eff9,55.1545814,61.3919103,0,Поликлиническая помощь (взрослая),6,darkolivegreen
Челябинск Челябинск Энтузиастов 13 ,г Челябинск, ул Энтузиастов, д 13,454080,Россия,RU,Уральский,27eb7c10-a234-44da-a59c-8b1f864966de,7400000000000,RU-CHE,Челябинская обл,обл,область,Челябинская,,,,,,,a376e68d-724a-4472-be7c-891bdb09ae32,7400000100000,г Челябинск,г,город,Челябинск,,,,р-н Центральный,р-н,район,Центральный,,,,,,,d03913b2-ed1c-4529-b99b-3630b3710b27,"7,40000010001176E+016",ул Энтузиастов,ул,улица,Энтузиастов,6b25cfeb-2f80-4d78-968d-cd001225fd97,"7,40000010001176E+018",,д,дом,13,,,,,,,,,,,,,,,6b25cfeb-2f80-4d78-968d-cd001225fd97,"7,4000001E+022",8,0,"7,40000010001176E+018",2,75401386000,75701390,7453,7453,UTC+5,55.1555126,61.3776619,,,1,5,2,0,,,77067159,1.2.643.5.1.13.13.12.2.74.7554.0.443451,"ГАУЗ ОТКЗ ""ГКБ № 1 г. Челябинск""",ГКБ 1 Челябинска,Поликлиника 1,e92a576a-4304-4e91-ad33-f61b90b4eff9,55.1545814,61.3919103,0,Поликлиническая помощь (взрослая),6,darkolivegreen
Челябинск Челябинск Энтузиастов 131,г Челябинск, ул Энтузиастов, д 131,454020,Россия,RU,Уральский,27eb7c10-a234-44da-a59c-8b1f864966de,7400000000000,RU-CHE,Челябинская обл,обл,область,Челябинская,,,,,,,a376e68d-724a-4472-be7c-891bdb09ae32,7400000100000,г Челябинск,г,город,Челябинск,,,,р-н Центральный,р-н,район,Центральный,,,,,,,d03913b2-ed1c-4529-b99b-3630b3710b27,"7,40000010001176E+016",ул Энтузиастов,ул,улица,Энтузиастов,,,,д,дом,131,,,,,,,,,,,,,,,d03913b2-ed1c-4529-b99b-3630b3710b27,"7,4000001E+022",7,0,"7,40000010001176E+016",2,75401386000,75701390,7453,7453,UTC+5,55.1540441,61.3758927,,,2,10,10,0,,,77067159,1.2.643.5.1.13.13.12.2.74.7554.0.443451,"ГАУЗ ОТКЗ ""ГКБ № 1 г. Челябинск""",ГКБ 1 Челябинска,Поликлиника 1,e92a576a-4304-4e91-ad33-f61b90b4eff9,55.1545814,61.3919103,0,Поликлиническая помощь (взрослая),,
Челябинск Челябинск Энтузиастов 132,г Челябинск, ул Энтузиастов, д 132,454020,Россия,RU,Уральский,27eb7c10-a234-44da-a59c-8b1f864966de,7400000000000,RU-CHE,Челябинская обл,обл,область,Челябинская,,,,,,,a376e68d-724a-4472-be7c-891bdb09ae32,7400000100000,г Челябинск,г,город,Челябинск,,,,р-н Центральный,р-н,район,Центральный,,,,,,,d03913b2-ed1c-4529-b99b-3630b3710b27,"7,40000010001176E+016",ул Энтузиастов,ул,улица,Энтузиастов,,,,д,дом,132,,,,,,,,,,,,,,,d03913b2-ed1c-4529-b99b-3630b3710b27,"7,4000001E+022",7,0,"7,40000010001176E+016",2,75401386000,75701390,7453,7453,UTC+5,55.1540441,61.3758927,,,2,10,10,0,,,77067159,1.2.643.5.1.13.13.12.2.74.7554.0.443451,"ГАУЗ ОТКЗ ""ГКБ № 1 г. Челябинск""",ГКБ 1 Челябинска,Поликлиника 1,e92a576a-4304-4e91-ad33-f61b90b4eff9,55.1545814,61.3919103,0,Поликлиническая помощь (взрослая),,
Челябинск Челябинск Сони Кривой 61 ,г Челябинск, ул Сони Кривой, д 61,454080,Россия,RU,Уральский,27eb7c10-a234-44da-a59c-8b1f864966de,7400000000000,RU-CHE,Челябинская обл,обл,область,Челябинская,,,,,,,a376e68d-724a-4472-be7c-891bdb09ae32,7400000100000,г Челябинск,г,город,Челябинск,,,,р-н Центральный,р-н,район,Центральный,,,,,,,9073effc-1f53-40c0-b5f8-e8d4fa408459,"7,40000010000478E+016",ул Сони Кривой,ул,улица,Сони Кривой,ddceb155-f732-4770-8621-66c08cd5af0b,"7,40000010000478E+018",74:36:0000000:4247,д,дом,61,,,,,,,,,,,,53030,,,ddceb155-f732-4770-8621-66c08cd5af0b,"7,4000001E+022",8,0,"7,40000010000478E+018",2,75401386000,75701390,7453,7453,UTC+5,55.1572652,61.3801481,,,0,5,2,0,,,77067159,1.2.643.5.1.13.13.12.2.74.7554.0.443451,"ГАУЗ ОТКЗ ""ГКБ № 1 г. Челябинск""",ГКБ 1 Челябинска,Поликлиника 1,e92a576a-4304-4e91-ad33-f61b90b4eff9,55.1545814,61.3919103,0,Поликлиническая помощь (взрослая),6,darkolivegreen
Челябинск Челябинск Сони Кривой 63 ,г Челябинск, ул Сони Кривой, д 63,454080,Россия,RU,Уральский,27eb7c10-a234-44da-a59c-8b1f864966de,7400000000000,RU-CHE,Челябинская обл,обл,область,Челябинская,,,,,,,a376e68d-724a-4472-be7c-891bdb09ae32,7400000100000,г Челябинск,г,город,Челябинск,,,,р-н Центральный,р-н,район,Центральный,,,,,,,9073effc-1f53-40c0-b5f8-e8d4fa408459,"7,40000010000478E+016",ул Сони Кривой,ул,улица,Сони Кривой,6b86f3e4-b526-4866-8386-b8083e5065b0,"7,40000010000478E+018",,д,дом,63,,,,,,,,,,,,67857,,,6b86f3e4-b526-4866-8386-b8083e5065b0,"7,4000001E+022",8,0,"7,40000010000478E+018",2,75401386000,75701390,7453,7453,UTC+5,55.1571555,61.3793753,,,0,5,2,0,,,77067159,1.2.643.5.1.13.13.12.2.74.7554.0.443451,"ГАУЗ ОТКЗ ""ГКБ № 1 г. Челябинск""",ГКБ 1 Челябинска,Поликлиника 1,e92a576a-4304-4e91-ad33-f61b90b4eff9,55.1545814,61.3919103,0,Поликлиническая помощь (взрослая),6,darkolivegreen
